Title,Release Date,Year,Romance,Genre,Logline,Gross,Poster
Fifty Shades of Grey,Feb 13,2015,pro,Drama Romance Thriller,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",166167230,
Old Fashioned,Feb 6,2015,pro,Drama Romance,"A reformed frat boy opens an antique store in a college town and falls for the free-spirited girl who moves into the apartment above his shop. In time, this unlikely pair fall into a traditional courtship..",1914090,
The Last Five Years,Feb 13,2015,pro,Comedy Drama Musical Romance,A struggling actress and her novelist lover each illustrate the struggle and deconstruction of their love affair.,145427,
Boy Meets Girl,Feb 6,2015,pro,Comedy Drama Romance,"Boy Meets Girl is a funny, tender, sex positive romantic comedy that explores what it means to be a real man or woman, and how important it is to live a courageous life not letting fear stand in the way of going after your dreams.",20441,
3 Nights in the Desert,Feb 6,2015,pro,Drama,"THE BIG CHILL meets THE GRADUATE. What could have been? What might have been? Reunions can be exciting, frustrating, exhilarating, nostalgic, one life given over to practicality while another chases lost dreams. Set against the majestic landscape of the desert, three estranged friends and former band mates ""celebrate"" turning 30, carrying their hopes, unresolved wounds and intertwined romantic baggage, in this hysterically funny and poignant look at lost loves, forgotten dreams and missed opportunity of three young adults in the final stages of giving up their youth.",1297,
How to Be Single,Feb 12,2016,anti,Comedy Drama Romance,A group of young adults navigate love and relationships in New York City.,46843513,/Users/tiffsmacbookair/Data_Studio/Project-3/posters/How to Be Single.jpg
The Choice,Feb 5,2016,pro,Drama Romance,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,18730891,
Pride and Prejudice and Zombies,Feb 5,2016,pro,Action Comedy Fantasy Horror Romance,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,10938134,
Touched with Fire,Feb 12,2016,pro,Drama Romance,Two bipolar patients meet in a psychiatric hospital and begin a romance that brings out all of the beauty and horror of their condition.,146487,
Tumbledown,Feb 5,2016,pro,Comedy Music Romance,"A young woman struggles to move on with her life after the death of her husband, an acclaimed folk singer, when a brash New York writer forces her to confront her loss and the ambiguous circumstances of his death.",135026,
Until Forever,Feb 12,2016,pro,Drama Romance,"Until Forever: The Michael Boyum Story is a powerful, true account of one young man's courageous battle with leukemia and his journey of faith.",35839,
Already Tomorrow in Hong Kong,Feb 12,2016,pro,Comedy Romance,"An attraction forms when a Chinese American girl visiting Hong Kong for the first time meets an American expat who shows her the way, but timing may not quite be on their side. A walk-and-talk romance set in the beautiful city of Hong Kong, the film asks the question - what happens when you meet the right person at the wrong time?",21206,
Providence,Feb 12,2016,pro,Drama Romance,"Rachel Cartwright and Mitchell Little both grow up in the small town of Providence, Tennessee. Their paths keep crossing and at one point it looks like they'll finally get together. But the opportunity slips away and they go their separate ways. It takes a tragedy many years later before they're reunited.",8840,
Fifty Shades Darker,Feb 10,2017,pro,Drama Mystery Romance Thriller,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",114581250,
Rings,Feb 3,2017,pro,Drama Horror Mystery Romance,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,27793018,
The Space Between Us,Feb 3,2017,pro,Drama Romance Sci-Fi,"The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street-smart girl to discover how he came to be.",7885294,
Fifty Shades Freed,Feb 9,2018,pro,Drama Mystery Romance Thriller,"Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",100407760,
But Deliver Us from Evil,Feb 9,2018,anti,Horror Thriller,"A demon wreaks havoc on a Atlanta. Lilith, Adam's first wife according to Jewish mysticism, is expelled from the Garden of Eden because of her refusal to obey Adam, the man. She returns with vengeance against Man, and his offspring.",285169,/Users/tiffsmacbookair/Data_Studio/Project-3/posters/But Deliver Us from Evil.jpg
The Female Brain,Feb 9,2018,pro,Comedy,"What makes a woman swipe right for Mr. Wrong? Sofía Vergara and Whitney Cummings star in this fresh, witty look at the science behind our romantic missteps.",21786,
What Men Want,Feb 8,2019,anti,Comedy Fantasy Romance,"A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts.",54611903,/Users/tiffsmacbookair/Data_Studio/Project-3/posters/What Men Want.jpg
Isn't It Romantic,Feb 13,2019,pro,Comedy Fantasy Musical Romance,A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,48791187,
Happy Death Day 2U,Feb 13,2019,pro,Comedy Horror Mystery Sci-Fi Thriller,Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,28148130,
Piercing,Feb 1,2019,pro,Horror Mystery Thriller,"A man kisses his wife and baby goodbye and seemingly heads away on business, with a plan to check into a hotel, call an escort service, and kill an unsuspecting prostitute.",15856,
Under the Eiffel Tower,Feb 8,2019,pro,Comedy Romance,"Stuart is a having a mid-life crisis. Desperate for something more in life, he tags along on his best friend's family vacation to Paris - then proposes to his friend's 26-year-old daughter, Rosalind, while standing under the Eiffel Tower.",6291,
The Photograph,Feb 14,2020,pro,Drama Romance,A series of intertwining love stories set in the past and in the present.,20578185,
Downhill,Feb 14,2020,pro,Comedy Drama,"Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",8287061,
First Lady,Feb 14,2020,pro,Comedy Romance,"Katherine Morales, a woman not married to the President, runs for First Lady, but she winds up getting a better proposal than she ever expected. First Lady is a classic romantic comedy with the backdrop of Presidential Politics and Royal Charm.",93298,
Olympic Dreams,Feb 14,2020,pro,Comedy Romance Sport,"In the Olympic Athlete Village, a young cross-country skier bonds with a volunteer doctor after her competition ends.",29450,
Little Fish,Feb 5,2021,pro,Drama Romance Sci-Fi,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,39053,
Marry Me,Feb 11,2022,pro,Comedy Music Romance,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd.",22438180,
Lisa Frankenstein,Feb 9,2024,anti,Comedy Horror Romance,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts.",9774285,/Users/tiffsmacbookair/Data_Studio/Project-3/posters/Lisa Frankenstein.jpg
Scrambled,Feb 2,2024,anti,Comedy,"A thirty-something eternal bridesmaid goes on an empowering, and often hilarious, journey of self-discovery.",422555,/Users/tiffsmacbookair/Data_Studio/Project-3/posters/Scrambled.jpg
Inheritance to Love,Feb 9,2024,pro,Comedy Romance,An ex-couple are both set to inherit a lot of money if they can spend the week together in a remote cabin getaway.,27305,
Sex-Positive,Feb 9,2024,anti,Comedy,"Virginia tumbles into a wild and thrilling new world of sexual liberation when she moves in with a group of polyamorous party animals, including the charming but commitment-phobic Jake.",3748,/Users/tiffsmacbookair/Data_Studio/Project-3/posters/Sex-Positive.jpg
Heart Eyes,Feb 7,2025,anti,Comedy Horror Mystery,"For the past several years, the ""Heart Eyes Killer"" has wreaked havoc on Valentine's Day by stalking and murdering romantic couples. This Valentine's Day, no couple is safe.",28978346,/Users/tiffsmacbookair/Data_Studio/Project-3/posters/Heart Eyes.jpg
Love Hurts,Feb 7,2025,pro,Action Comedy,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",15437840,
I Love You Forever,Feb 7,2025,anti,Comedy Drama,A subversive romantic comedy gone wrong that follows a young woman into and out of an emotionally abusive relationship.,12989,/Users/tiffsmacbookair/Data_Studio/Project-3/posters/I Love You Forever.jpg
When I'm Ready,Feb 7,2025,pro,Romance,"It's the end of the world. Seeking meaning and thrills in their last days alive, Rose and Michael embark on a cross-country road trip as a devastating asteroid threatens to wipe out life on Earth.",11372,
